"gene_ID","description","organism","nomenclaturesymbol"
"XP_014008428.1","chromosome ssa17 open reading frame, human C12orf56","Salmo salar",""
"XP_002661405.2","si:ch211-258f14.2","Danio rerio","si:ch211-258f14.2"
"XP_003972740.1","single stranded DNA binding protein 1","Takifugu rubripes",""
"XP_002667022.3","diacylglycerol kinase, iota","Danio rerio","dgki"
"NP_001083020.1","solute carrier family 13 (sodium/sulfate symporter), member 4","Danio rerio","slc13a4"
"NP_001124264.1","zgc:194209","Danio rerio","zgc:194209"
"XP_001331813.3","Ras association (RalGDS/AF-6) domain family member 3","Danio rerio","rassf3"
"XP_009298317.1",NA,NA,NA
"XP_005164556.1","Ras association (RalGDS/AF-6) domain family member 3","Danio rerio","rassf3"
"XP_010894794.1","linkage group 23 C12orf56 homolog","Esox lucius",""
"NP_001077328.1","zgc:162331","Danio rerio","zgc:162331"
"XP_005164560.1","solute carrier family 13 (sodium/sulfate symporter), member 4","Danio rerio","slc13a4"
"NP_001074120.1","cAMP responsive element binding protein 3-like 2","Danio rerio","creb3l2"
"XP_013984920.1","putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13","Salmo salar",""
"NP_001038839.2","sorting nexin 22","Danio rerio","snx22"
"XP_013978689.1","phosphatase and actin regulator 1-like","Salmo salar",""
"XP_011480986.1","myosin VIIA","Oryzias latipes",""
"XP_014060691.1","androgen-induced gene 1 protein-like","Salmo salar",""
"XP_010880893.1",NA,NA,NA
"XP_012685414.1","ankyrin repeat domain-containing protein 46-like","Clupea harengus",""
"XP_010893023.1","autophagy related 4A cysteine peptidase","Esox lucius",""
"XP_007242172.1","oxidation resistance 1","Astyanax mexicanus",""
"NP_998242.1","ubiquitin-like with PHD and ring finger domains 1","Danio rerio","uhrf1"
"XP_014193325.1","protein tyrosine phosphatase, receptor type K","Haplochromis burtoni",""
"XP_012892426.1","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A-like","Dipodomys ordii",""
"XP_014051431.1","homeobox protein CDX-1-like","Salmo salar",""
"NP_001092232.1","caudal type homeobox 1 b","Danio rerio","cdx1b"
"NP_998356.1","NudC domain containing 3","Danio rerio","nudcd3"
"XP_005167213.1","importin 11","Danio rerio","ipo11"
"XP_009304254.1","Ca2+-dependent activator protein for secretion a","Danio rerio","cadpsa"
"NP_001025140.1","FYN proto-oncogene, Src family tyrosine kinase b","Danio rerio","fynb"
"XP_005160106.1","mitogen-activated protein kinase kinase 7","Danio rerio","map2k7"
"XP_014027958.1","bone morphogenetic protein receptor type 1B","Salmo salar",""
"NP_001124290.1","tetraspanin 7b","Danio rerio","tspan7b"
"XP_005173540.1","neurocalcin delta a","Danio rerio","ncalda"
"XP_685629.2","immunoglobulin superfamily, member 9a","Danio rerio","igsf9a"
"XP_685389.5","adrenoceptor alpha 1Ab","Danio rerio","adra1ab"
"NP_001004006.1","transmembrane protein 230a","Danio rerio","tmem230a"
"XP_011476102.1","uncharacterized LOC105354509","Oryzias latipes",""
"XP_005725671.1","dihydropyrimidinase-related protein 2","Pundamilia nyererei",""
"XP_005155688.1","dihydropyrimidinase-like 2b","Danio rerio","dpysl2b"
"XP_013987609.1","dihydropyrimidinase-related protein 2-like","Salmo salar",""
"NP_001018353.1","dihydropyrimidinase-like 2b","Danio rerio","dpysl2b"
"XP_011675119.1","uncharacterized LOC105443539","Strongylocentrotus purpuratus",""
"XP_012987496.1","cadherin-7","Esox lucius",""
"XP_006634567.1",NA,NA,NA
"XP_010889602.1","solute carrier family 12 member 1","Esox lucius",""
"XP_004912655.1","solute carrier family 12 (sodium/potassium/chloride transporter), member 1","Xenopus tropicalis","slc12a1"
"XP_006628707.1",NA,NA,NA
"XP_013982964.1","deoxyuridine 5'-triphosphate nucleotidohydrolase-like","Salmo salar",""
"XP_004543550.1","deoxyuridine triphosphatase","Maylandia zebra",""
"XP_011486668.1","deoxyuridine triphosphatase","Oryzias latipes",""
"NP_001006005.1","deoxyuridine triphosphatase","Danio rerio","dut"
"XP_008308406.1","deoxyuridine triphosphatase","Cynoglossus semilaevis",""
"XP_006628762.1",NA,NA,NA
"NP_957022.1","SSU72 homolog, RNA polymerase II CTD phosphatase","Danio rerio","ssu72"
"XP_013988444.1","rootletin-like","Salmo salar",""
"XP_013988440.1","rootletin-like","Salmo salar",""
"NP_001230093.1","NECAP endocytosis associated 2","Danio rerio","necap2"
"XP_014022399.1","rootletin-like","Salmo salar",""
"XP_007256803.1",NA,NA,NA
"XP_008280913.1","ATPase family AAA domain-containing protein 3-A-like","Stegastes partitus",""
"XP_003200960.1","transmembrane protein 240b","Danio rerio","tmem240b"
"NP_001034446.1","microfibrillar-associated protein 2","Danio rerio","mfap2"
"NP_001092210.1","succinate dehydrogenase complex, subunit B, iron sulfur (Ip)","Danio rerio","sdhb"
"XP_012688584.1","succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial","Clupea harengus",""
"XP_013988442.1","rootletin-like","Salmo salar",""
"NP_001038824.1","mitochondrial ribosomal protein L20","Danio rerio","mrpl20"
"XP_008329713.1",NA,NA,NA
"XP_012322491.1","membrane palmitoylated protein 1","Aotus nancymaae",""
"XP_010752849.1",NA,NA,NA
"XP_014192831.1","actinin alpha 1","Haplochromis burtoni",""
"XP_007247638.1","alpha-actinin-1","Astyanax mexicanus",""
"XP_010894565.1","alpha-actinin-1","Esox lucius",""
"XP_005157053.1","actinin, alpha 1","Danio rerio","actn1"
"XP_013881165.1","alpha-actinin-1","Austrofundulus limnaeus",""
"NP_001265728.1","laminin, alpha 2","Danio rerio","lama2"
"XP_005173854.2","trans-2-enoyl-CoA reductase, mitochondrial-like","Danio rerio",""
"NP_001017594.1","COX16 cytochrome c oxidase assembly homolog (S. cerevisiae)","Danio rerio","cox16"
"XP_005158087.1","zinc finger protein 883-like","Danio rerio",""
"XP_009302923.1","gastrula zinc finger protein XlCGF52.1-like","Danio rerio",""
"XP_013993392.1","cytospin-B-like","Salmo salar",""
"XP_012692245.1","solute carrier family 8 member A3","Clupea harengus",""
"XP_012396489.1","phospholipid phosphatase 1","Sarcophilus harrisii",""
"NP_001017864.1","spindlin b","Danio rerio","spinb"
"XP_003199082.1","si:ch211-87m7.2","Danio rerio","si:ch211-87m7.2"
"NP_956139.1","glutamate-cysteine ligase, modifier subunit","Danio rerio","gclm"
"NP_001107077.1","solute carrier family 5 (sodium/sugar cotransporter), member 9","Danio rerio","slc5a9"
"NP_001139258.1","deoxynucleotidyltransferase, terminal, interacting protein 2","Danio rerio","dnttip2"
"XP_005157056.1","solute carrier family 8 (sodium/calcium exchanger), member 3","Danio rerio","slc8a3"
"XP_014036329.1","chondroitin sulfate glucuronyltransferase-like","Salmo salar",""
"XP_007255204.1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2","Astyanax mexicanus",""
"XP_005166474.1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3b","Danio rerio","smarcd3b"
"NP_001120778.1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3b","Danio rerio","smarcd3b"
"XP_007230378.1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3","Astyanax mexicanus",""
"XP_014045556.1","homer protein homolog 3-like","Salmo salar",""
"XP_009305752.1","solute carrier family 8 (sodium/calcium exchanger), member 3","Danio rerio","slc8a3"
"XP_005156254.1","WW domain containing adaptor with coiled-coil a","Danio rerio","waca"
"NP_571859.1","BMP and activin membrane-bound inhibitor (Xenopus laevis) homolog a","Danio rerio","bambia"
"XP_013033080.1","cysteine and glycine rich protein 3","Anser cygnoides domesticus",""
"XP_014021736.1","kazrin-like","Salmo salar",""
"XP_010729676.1",NA,NA,NA
"XP_002663834.2","PR domain containing 2, with ZNF domain b","Danio rerio","prdm2b"
"XP_007233925.1",NA,NA,NA
"XP_009304339.1",NA,NA,NA
"NP_001004595.1","UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)","Danio rerio","utp3"
"XP_014021675.1","phosphopantothenoylcysteine synthetase","Salmo salar",""
"XP_009294219.1","si:ch211-239m17.1","Danio rerio","si:ch211-239m17.1"
"XP_009294365.1","uncharacterized LOC100331045","Danio rerio",""
"XP_005162261.1","arginine-glutamic acid dipeptide (RE) repeats a","Danio rerio","rerea"
"XP_005174150.1","gamma-glutamyltransferase 7-like","Danio rerio",""
"XP_013990147.1","gamma-glutamyltransferase 7","Salmo salar",""
"XP_009300262.1","tumor protein p53-inducible nuclear protein 2","Danio rerio",""
"XP_007233880.1","tumor protein p53-inducible nuclear protein 2-like","Astyanax mexicanus",""
"XP_006642938.1",NA,NA,NA
"XP_009291966.1","uncharacterized LOC101882592","Danio rerio",""
"XP_009294396.1","si:dkey-253d23.8","Danio rerio","si:dkey-253d23.8"
"XP_009294395.1","si:dkey-253d23.11","Danio rerio","si:dkey-253d23.11"
"XP_005174059.1","si:ch211-222k6.2","Danio rerio","si:ch211-222k6.2"
"XP_006794058.1","ganglioside-induced differentiation-associated protein 1-like 1-like","Neolamprologus brichardi",""
"NP_001002713.1","major facilitator superfamily domain containing 5","Danio rerio","mfsd5"
"NP_001272465.1","nuclear receptor subfamily 1, group D, member 4a","Danio rerio","nr1d4a"
"XP_005157254.1",NA,NA,NA
"NP_571414.1","retinoic acid receptor gamma a","Danio rerio","rarga"
"NP_001039314.1","GTP binding protein overexpressed in skeletal muscle","Danio rerio","gem"
"XP_009292715.1",NA,NA,NA
"XP_004545012.1","retinoic acid receptor gamma-A-like","Maylandia zebra",""
"XP_006808844.1","retinoic acid receptor gamma-A-like","Neolamprologus brichardi",""
"XP_005159825.1","family with sequence similarity 83, member Hb","Danio rerio","fam83hb"
"XP_005159827.1","si:ch211-193k19.1","Danio rerio","si:ch211-193k19.1"
"NP_956203.1","CAP, adenylate cyclase-associated protein 1 (yeast)","Danio rerio","cap1"
"XP_003200686.2","si:ch211-193k19.1","Danio rerio","si:ch211-193k19.1"
"NP_955996.1","zgc:64072","Danio rerio","zgc:64072"
"NP_001070073.1","zgc:152948","Danio rerio","zgc:152948"
"XP_005170302.1","zgc:152948","Danio rerio","zgc:152948"
"XP_005170304.1","zgc:152948","Danio rerio","zgc:152948"
"XP_009293339.1","wu:fj81e10","Danio rerio","wu:fj81e10"
"XP_009293338.1","liver-expressed antimicrobial peptide 2-like","Danio rerio",""
"XP_014001459.1","WD repeat-containing protein 7-like","Salmo salar",""
"XP_011605244.1","calcium voltage-gated channel auxiliary subunit alpha2delta 1","Takifugu rubripes",""
"XP_686426.5","adenosine deaminase, RNA-specific, B2 (non-functional)","Danio rerio","adarb2"
"XP_007255549.1","RNA binding motif protein 25","Astyanax mexicanus",""
"XP_012688773.1","CAP, adenylate cyclase-associated protein, 2 (yeast)","Clupea harengus",""
"XP_012693669.1","heat shock protein HSP 90-alpha","Clupea harengus",""
"NP_001073558.1","nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon","Danio rerio","nfkbie"
"XP_012752028.1","hypothetical protein","Acytostelium subglobosum LB1",""
"NP_991198.1","solute carrier family 35 (adenosine 3'-phospho 5'-phosphosulfate transporter), member B2","Danio rerio","slc35b2"
"NP_571875.1","eukaryotic translation initiation factor 2, subunit 1 alpha b","Danio rerio","eif2s1b"
"XP_014005490.1","abl interactor 2-like","Salmo salar",""
"XP_005167559.1",NA,NA,NA
"XP_007240059.1","transmembrane protein 237A-like","Astyanax mexicanus",""
"XP_007240060.1","abl interactor 2","Astyanax mexicanus",""
"NP_001070054.2","abl-interactor 2a","Danio rerio","abi2a"
"XP_009302792.1","abl-interactor 2a","Danio rerio","abi2a"
"XP_006010750.1","general transcription factor II-I repeat domain-containing protein 2A-like","Latimeria chalumnae",""
"XP_006271672.1",NA,NA,NA
"XP_014269245.1","zinc finger protein 862-like","Maylandia zebra",""
"XP_009301280.1",NA,NA,NA
"NP_571501.1","lymphoid enhancer-binding factor 1","Danio rerio","lef1"
"XP_005160178.1","si:ch211-149l1.2","Danio rerio","si:ch211-149l1.2"
"XP_014188169.1","serine/threonine-protein kinase 10-like","Haplochromis burtoni",""
"NP_001070757.2","testis specific, 10","Danio rerio","tsga10"
"NP_001019633.1","glutathione S-transferase, C-terminal domain containing","Danio rerio","gstcd"
"NP_001167381.1","glutathione S-transferase C-terminal domain containing","Salmo salar",""
"NP_001003515.1","hydroxyacyl-CoA dehydrogenase","Danio rerio","hadh"
"NP_001139035.1","sphingomyelin synthase 2","Danio rerio","sgms2"
"XP_009301290.1",NA,NA,NA
"XP_014065128.1","lymphoid enhancer binding factor 1","Salmo salar",""
"XP_014065126.1","lymphoid enhancer binding factor 1","Salmo salar",""
"NP_001139036.1","cytochrome P450, family 2, subfamily U, polypeptide 1","Danio rerio","cyp2u1"
"XP_008285420.1","nephronectin","Stegastes partitus",""
"NP_001104652.1","HtrA serine peptidase 1b","Danio rerio","htra1b"
"XP_014013840.1","serine protease HTRA1B","Salmo salar",""
"XP_699238.2","si:rp71-19m20.1","Danio rerio","si:rp71-19m20.1"
"NP_997831.1","cytochrome P450, family 26, subfamily b, polypeptide 1","Danio rerio","cyp26b1"
"XP_014048978.1","phenylalanine--tRNA ligase alpha subunit","Salmo salar",""
"NP_001003781.1","transport and golgi organization 2 homolog (Drosophila)","Danio rerio","tango2"
"XP_007234341.1",NA,NA,NA
"XP_001332652.5","peroxisomal biogenesis factor 6","Danio rerio","pex6"
"NP_001002421.1","COMM domain containing 2","Danio rerio","commd2"
"XP_009296568.1",NA,NA,NA
"XP_012672859.1","protocadherin beta-15-like","Clupea harengus",""
"XP_013763262.1","protocadherin gamma-A3-like","Pundamilia nyererei",""
"NP_001019359.1","protocadherin 2 gamma 16","Danio rerio","pcdh2g16"
"XP_014037594.1","zinc finger protein 271-like","Salmo salar",""
"XP_005174044.1","wu:fi42h12","Danio rerio","wu:fi42h12"
"XP_009298172.1",NA,NA,NA
"NP_001120944.1","zgc:174624","Danio rerio","zgc:174624"
"XP_007056370.1","hydroxysteroid 17-beta dehydrogenase 7","Chelonia mydas",""
"XP_005817565.1","general transcription factor II-I repeat domain-containing protein 2-like","Xiphophorus maculatus",""
"XP_009305326.1",NA,NA,NA
"XP_008335507.1","general transcription factor II-I repeat domain-containing protein 2-like","Cynoglossus semilaevis",""
"XP_012672380.1","sulfotransferase 6B1-like","Clupea harengus",""
"XP_004546628.1","NADH:ubiquinone oxidoreductase subunit B4","Maylandia zebra",""
"NP_998038.1","lectin, galactoside-binding, soluble, 3 binding protein b","Danio rerio","lgals3bpb"
"XP_009296653.1",NA,NA,NA
"XP_010872583.1","guanine nucleotide-binding protein G(o) subunit alpha","Esox lucius",""
"XP_010769175.1","guanine nucleotide-binding protein G(o) subunit alpha-like","Notothenia coriiceps",""
"XP_012676947.1","zinc finger protein 384","Clupea harengus",""
"XP_011483774.1","zinc finger protein 384","Oryzias latipes",""
"XP_007236811.1",NA,NA,NA
"XP_009304306.1",NA,NA,NA
"XP_002662681.2","si:dkey-28d5.10","Danio rerio","si:dkey-28d5.10"
"XP_007568423.1","WD repeat domain 70","Poecilia formosa",""
"XP_006627352.1",NA,NA,NA
"NP_571807.1",NA,NA,NA
"XP_005169200.1",NA,NA,NA
"NP_001189346.1","MARVEL domain containing 1","Danio rerio","marveld1"
"NP_001035429.1","zgc:136254","Danio rerio","zgc:136254"
"XP_005749522.2","neuronal acetylcholine receptor subunit alpha-2-like","Pundamilia nyererei",""
"XP_007235121.1","protein FAM180A","Astyanax mexicanus",""
"NP_998137.1","myotrophin","Danio rerio","mtpn"
"NP_001291030.1","family with sequence similarity 180 member A","Esox lucius",""
"XP_009299086.1","intersectin 2a","Danio rerio","itsn2a"
"NP_001138272.1","intersectin 2a","Danio rerio","itsn2a"
"XP_007248832.1",NA,NA,NA
"XP_005173589.1",NA,NA,NA
"XP_014265262.1","thrombospondin type 1 domain containing 7A","Maylandia zebra",""
"NP_001002730.1","islet cell autoantigen 1","Danio rerio","ica1"
"XP_003200315.1",NA,NA,NA
"XP_002664126.3",NA,NA,NA
"XP_007228007.1","vertebrate ancient opsin-like","Astyanax mexicanus",""
"NP_001269302.1","teleost multiple tissue opsin 2b","Danio rerio","tmtops2b"
"XP_002667383.2","E3 ubiquitin-protein ligase RNF14-like","Danio rerio",""
"XP_012714945.1","chaperonin containing TCP1 subunit 6A","Fundulus heteroclitus",""
"XP_012672371.1","neuritin-like","Clupea harengus",""
"XP_009305674.1","si:dkey-187a12.4","Danio rerio","si:dkey-187a12.4"
"NP_001070195.1","solute carrier family 17 (acidic sugar transporter), member 5","Danio rerio","slc17a5"
"XP_001345314.1","Ras and Rab interactor 2","Danio rerio","rin2"
"XP_009305676.1","Ras and Rab interactor 2","Danio rerio","rin2"
"XP_006801600.1","glyoxalase domain-containing protein 4-like","Neolamprologus brichardi",""
"XP_008287281.1","nucleoredoxin","Stegastes partitus",""
"NP_998293.1","eukaryotic translation initiation factor 3, subunit 6 interacting protein","Danio rerio","eif3s6ip"
"NP_956449.1","USO1 vesicle transport factor","Danio rerio","uso1"
"XP_009289760.1","USO1 vesicle transport factor","Danio rerio","uso1"
"NP_001074032.1","GTPase activating protein (SH3 domain) binding protein 2","Danio rerio","g3bp2"
"NP_001002161.2","integrator complex subunit 12","Danio rerio","ints12"
"XP_009289887.1","Rho guanine nucleotide exchange factor (GEF) 38","Danio rerio","arhgef38"
"XP_002664121.1",NA,NA,NA
"NP_001231965.1","zgc:113921","Danio rerio","zgc:113921"
"XP_012674306.1","primase and DNA directed polymerase","Clupea harengus",""
"XP_014051010.1","primase and DNA directed polymerase","Salmo salar",""
"XP_007246457.1","cathepsin F","Astyanax mexicanus",""
"XP_009290389.1","si:rp71-15i12.1","Danio rerio","si:rp71-15i12.1"
"XP_009290752.1","Src-like-adaptor","Danio rerio",""
"XP_007260769.1",NA,NA,NA
"XP_002665506.2","Rap guanine nucleotide exchange factor (GEF) 5a","Danio rerio","rapgef5a"
"XP_001335910.3","intelectin-like","Danio rerio",""
"XP_007248867.1","PTB domain-containing engulfment adapter protein 1-like","Astyanax mexicanus",""
"XP_005160597.1",NA,NA,NA
"XP_005160598.1",NA,NA,NA
"NP_001017910.1","rapunzel 4","Danio rerio","rpz4"
"XP_009290928.1","transmembrane protein 176l.1","Danio rerio","tmem176l.1"
"XP_009290936.1","transmembrane protein 176l.3a","Danio rerio","tmem176l.3a"
"XP_002590904.1","hypothetical protein","Branchiostoma floridae",""
"XP_007252888.1",NA,NA,NA
"XP_010748533.1",NA,NA,NA
"NP_001119539.1","protein S (alpha)","Xenopus tropicalis","pros1"
"XP_012677788.1","L-lactate dehydrogenase B-B chain","Clupea harengus",""
